head_entity_label,head_entity,relationship,tail_entity_label,tail_entity
[应急工作小组],"{""name"":信息发布组,""危化品应急预案"":危化品应急预案}",牵头,[具体政府部门],"{""name"":市委宣传部,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市委宣传部,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":信息发布组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":市委网络安全和信息化委员会办公室,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市委网络安全和信息化委员会办公室,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":南京警备区,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":武警南京支队,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市发展和改革委员会,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市工业和信息化局,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":事故调查组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":市公安局,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":警戒疏散组,""危化品应急预案"":危化品应急预案}",牵头,[具体政府部门],"{""name"":市公安局,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市公安局,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":综合保障组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":市民政局,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市民政局,""危化品应急预案"":危化品应急预案}"
